2024-01-17 18:05:31.416 - INFO     - Module UI Manager initialised - UI Manager.lvlib:Main.vi.ACBRProxyCaller.1DC0007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:05:31.431 - DEBUG    - Loading UI Manager... - startup.vi - 0 - 
2024-01-17 18:05:31.631 - DEBUG    - Loading "Navigation"... - startup.vi - 0 - 
2024-01-17 18:05:31.872 - DEBUG    - Loading "Dummy"... - startup.vi - 0 - 
2024-01-17 18:05:32.034 - DEBUG    - Loading "ActorModule"... - startup.vi - 0 - 
2024-01-17 18:05:32.196 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F200090->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.208 - DEBUG    - Loading "StateMachine"... - startup.vi - 0 - 
2024-01-17 18:05:32.456 - INFO     - Module DBModule started. - DBModule.lvlib:Main.vi.ACBRProxyCaller.1F600093->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.476 - DEBUG    - Loading "DBModule"... - startup.vi - 0 - 
2024-01-17 18:05:32.623 - DEBUG    - Setting Modules in UI Manager... - startup.vi - 0 - 
2024-01-17 18:05:32.776 - DEBUG    - Setting Modules in Event Manager... - startup.vi - 0 - 
2024-01-17 18:05:32.794 - DEBUG    - Loading Menu... - startup.vi - 0 - 
2024-01-17 18:05:32.837 - INFO     - Module Event Manager configured. - Event Manager.lvlib:Main.vi.ACBRProxyCaller.1D400076->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:05:32.844 - DEBUG    - Configure statically loaded modules... - startup.vi - 0 - 
2024-01-17 18:05:32.894 - INFO     - Module UI Manager configured. - UI Manager.lvlib:Main.vi.ACBRProxyCaller.1DC0007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.923 - DEBUG    - Configure module Framework\Navigation ... - startup.vi - 0 - 
2024-01-17 18:05:32.925 - DEBUG    - Module Navigation configured - Navigation.lvlib:Main.vi.ACBRProxyCaller.1E300084->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.966 - DEBUG    - Configure module Modules\Dummy ... - startup.vi - 0 - 
2024-01-17 18:05:32.979 - DEBUG    - Configure module Modules\ActorModule ... - startup.vi - 0 - 
2024-01-17 18:05:32.980 - INFO     - Module User Interface configured. - ActorModule.lvlib:Main.vi.ACBRProxyCaller.1EE0008D->ActorModule.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.988 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F200090->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:05:32.989 - DEBUG    - Initialization finished - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F200090->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:05:33.003 - DEBUG    - Configure module Modules\StateMachine ... - startup.vi - 0 - 
2024-01-17 18:05:33.009 - INFO     - Module DBModule configured. - DBModule.lvlib:Main.vi.ACBRProxyCaller.1F600093->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:05:33.023 - DEBUG    - Configure module Modules\DBModule ... - startup.vi - 0 - 
2024-01-17 18:05:33.041 - ERROR    - DQMH Error Case - DBModule.lvlib:Main.vi.ACBRProxyCaller.1F600093->DBModule.lvlib:Main.vi - 1003 - Open VI Reference in hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:VI Reference AE.vi->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Create.vi:6800001->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Get or Create Master Reference.vi:4070001->hse-db.lvlib:DB_CONNECTOR.lvlib:Start Module.vi->DBModule.lvlib:Main.vi->DBModule.lvlib:Main.vi.ACBRProxyCaller.1F600093<APPEND>VI Path: <b>C:\Users\luisc\OneDrive\Desktop\579-Intelligent-Systems-Term-Project\06_Source\UI\FReVSys_Source\Libraries\hse-db\Source\DB_CONNECTOR\Main.vi</b><DQMH>Event Handling Loop</DQMH>
2024-01-17 18:05:35.881 - INFO     - Module DBModule stopped. - DBModule.lvlib:Main.vi.ACBRProxyCaller.1F600093->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:05:35.957 - DEBUG    - Exit - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F200090->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:05:35.964 - INFO     - Module StateMachine stopped. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F200090->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:05:36.137 - INFO     - Module Navigation stopped - Navigation.lvlib:Main.vi.ACBRProxyCaller.1E300084->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:05:36.171 - INFO     - Module UI Manager stopped - UI Manager.lvlib:Main.vi.ACBRProxyCaller.1DC0007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:05:36.327 - INFO     - Module Event Manager stopped - Event Manager.lvlib:Main.vi.ACBRProxyCaller.1D400076->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:05:36.360 - INFO     - Application stopped. - startup.vi - 0 - 
2024-01-17 18:19:56.003 - INFO     - Starting FReVSys unreleased (Framework v1.2.0; HSE Libs v3.8.0) - startup.vi - 0 - 
2024-01-17 18:19:56.693 - DEBUG    - Loading Event Manager... - startup.vi - 0 - 
2024-01-17 18:19:56.936 - INFO     - Module UI Manager initialised - UI Manager.lvlib:Main.vi.ACBRProxyCaller.9C60007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:19:56.943 - DEBUG    - Loading UI Manager... - startup.vi - 0 - 
2024-01-17 18:19:57.154 - DEBUG    - Loading "Navigation"... - startup.vi - 0 - 
2024-01-17 18:19:57.390 - INFO     - Module Event Manager initialised - Event Manager.lvlib:Main.vi.ACBRProxyCaller.9BE0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:19:57.421 - DEBUG    - Loading "Dummy"... - startup.vi - 0 - 
2024-01-17 18:19:57.595 - DEBUG    - Loading "ActorModule"... - startup.vi - 0 - 
2024-01-17 18:19:57.767 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.9DC0008C->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:19:57.779 - DEBUG    - Loading "StateMachine"... - startup.vi - 0 - 
2024-01-17 18:19:58.034 - INFO     - Module DBModule started. - DBModule.lvlib:Main.vi.ACBRProxyCaller.9E00007C->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.045 - DEBUG    - Loading "DBModule"... - startup.vi - 0 - 
2024-01-17 18:19:58.201 - DEBUG    - Setting Modules in UI Manager... - startup.vi - 0 - 
2024-01-17 18:19:58.369 - DEBUG    - Setting Modules in Event Manager... - startup.vi - 0 - 
2024-01-17 18:19:58.385 - DEBUG    - Loading Menu... - startup.vi - 0 - 
2024-01-17 18:19:58.448 - INFO     - Module Event Manager configured. - Event Manager.lvlib:Main.vi.ACBRProxyCaller.9BE0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:19:58.461 - DEBUG    - Configure statically loaded modules... - startup.vi - 0 - 
2024-01-17 18:19:58.530 - INFO     - Module UI Manager configured. - UI Manager.lvlib:Main.vi.ACBRProxyCaller.9C60007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.556 - DEBUG    - Module Navigation configured - Navigation.lvlib:Main.vi.ACBRProxyCaller.9CD0002C->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.557 - DEBUG    - Configure module Framework\Navigation ... - startup.vi - 0 - 
2024-01-17 18:19:58.605 - DEBUG    - Configure module Modules\Dummy ... - startup.vi - 0 - 
2024-01-17 18:19:58.621 - INFO     - Module User Interface configured. - ActorModule.lvlib:Main.vi.ACBRProxyCaller.9D800082->ActorModule.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.627 - DEBUG    - Configure module Modules\ActorModule ... - startup.vi - 0 - 
2024-01-17 18:19:58.639 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.9DC0008C->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.641 - DEBUG    - Initialization finished - StateMachine.lvlib:Main.vi.ACBRProxyCaller.9DC0008C->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:19:58.642 - DEBUG    - Configure module Modules\StateMachine ... - startup.vi - 0 - 
2024-01-17 18:19:58.662 - INFO     - Module DBModule configured. - DBModule.lvlib:Main.vi.ACBRProxyCaller.9E00007C->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:19:58.671 - DEBUG    - Configure module Modules\DBModule ... - startup.vi - 0 - 
2024-01-17 18:19:58.692 - ERROR    - DQMH Error Case - DBModule.lvlib:Main.vi.ACBRProxyCaller.9E00007C->DBModule.lvlib:Main.vi - 1003 - Open VI Reference in hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:VI Reference AE.vi->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Create.vi:6800001->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Get or Create Master Reference.vi:4070001->hse-db.lvlib:DB_CONNECTOR.lvlib:Start Module.vi->DBModule.lvlib:Main.vi->DBModule.lvlib:Main.vi.ACBRProxyCaller.9E00007C<APPEND>VI Path: <b>C:\Users\luisc\OneDrive\Desktop\579-Intelligent-Systems-Term-Project\06_Source\UI\FReVSys_Source\Libraries\hse-db\Source\DB_CONNECTOR\Main.vi</b><DQMH>Event Handling Loop</DQMH>
2024-01-17 18:20:03.107 - INFO     - Module DBModule stopped. - DBModule.lvlib:Main.vi.ACBRProxyCaller.9E00007C->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:03.183 - DEBUG    - Exit - StateMachine.lvlib:Main.vi.ACBRProxyCaller.9DC0008C->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:20:03.185 - INFO     - Module StateMachine stopped. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.9DC0008C->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:20:03.353 - INFO     - Module Navigation stopped - Navigation.lvlib:Main.vi.ACBRProxyCaller.9CD0002C->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:20:03.388 - INFO     - Module UI Manager stopped - UI Manager.lvlib:Main.vi.ACBRProxyCaller.9C60007F->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:03.543 - INFO     - Module Event Manager stopped - Event Manager.lvlib:Main.vi.ACBRProxyCaller.9BE0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:03.572 - INFO     - Application stopped. - startup.vi - 0 - 
2024-01-17 18:20:07.735 - INFO     - Starting FReVSys unreleased (Framework v1.2.0; HSE Libs v3.8.0) - startup.vi - 0 - 
2024-01-17 18:20:08.410 - DEBUG    - Loading Event Manager... - startup.vi - 0 - 
